"2025-05-10 09:00:00",45.00,"Morning groceries",Groceries
"2025-05-10 13:30:00",15.00,"Lunch at cafe",Entertainment
"2025-05-11 08:00:00",60.00,"Gas refill",Transport
"2025-05-11 20:00:00",22.00,"Movie night",Entertainment
"2025-05-12 10:00:00",80.00,"Doctor visit",Health
"2025-05-12 18:00:00",30.00,"Internet bill",Utilities
"2025-05-13 07:45:00",12.50,"Morning snack",Groceries
"2025-05-13 17:30:00",28.75,"Gym membership",Health
"2025-05-14 11:00:00",5.00,"Coffee",Groceries
"2025-05-14 21:00:00",40.00,"Live concert",Entertainment
